epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,17.0228,1.16569,2.0434,1.45365,0.84228,0.88302,0.91891,0.75916,0.69208,0.75806,1.02756,0.00980769,0.00326923,0.00980769,0.00326923,0.00980769,0.00326923,0.00980769,0.00326923
2,33.8553,0.78133,0.82174,1.10096,0.96077,0.90327,0.95174,0.76118,0.75283,0.57422,1.05512,0.0197881,0.00659603,0.0197881,0.00659603,0.0197881,0.00659603,0.0197881,0.00659603
3,50.6615,0.84211,0.77971,1.10879,0.93209,0.86698,0.92739,0.68902,0.89892,0.89254,1.17193,0.0297487,0.00991622,0.0297487,0.00991622,0.0297487,0.00991622,0.0297487,0.00991622
4,67.3692,0.87172,0.83784,1.13458,0.85653,0.80538,0.88657,0.69983,0.76336,1.42069,1.0989,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,84.1633,0.88534,0.75336,1.1659,0.62067,0.63855,0.65936,0.40603,1.06326,2.53545,1.27561,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,101.016,0.87918,0.68754,1.15441,0.95294,0.82749,0.88801,0.72618,0.75593,1.04905,1.09712,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,117.914,0.837,0.68995,1.13278,0.9734,0.87301,0.93041,0.74608,0.76481,0.69729,1.10453,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,134.985,0.82866,0.6335,1.138,0.94882,0.86422,0.9224,0.75308,0.72234,0.57474,1.07037,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,152.253,0.81393,0.60829,1.1169,0.9602,0.88016,0.95981,0.77493,0.73153,0.52728,1.10639,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,169.542,0.82381,0.62014,1.11155,0.9809,0.9077,0.95595,0.77611,0.71486,0.57709,1.05521,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,186.817,0.80767,0.61084,1.11695,0.97319,0.87189,0.93579,0.76041,0.72543,0.62531,1.06976,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,203.973,0.81004,0.60916,1.13003,0.97675,0.89263,0.95912,0.7762,0.72996,0.52407,1.07887,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
